"","...1","Site","Plot","Success","Diversity","Year","Month","Season","CoreSection_cm","TotalSoilWeight_g","RockVolume_cm3","RockMass_g","RootMass_g","WetSoilWeight_g","DrySoilWeight_g","Moisture_g","SectionLength_cm","BulkDensity_g_cm3","BiomassC","Respiration","NO2_NO3","NH4","TIN","BiomassN","Mineralization","Nitrification","DEA","TotalSoilN_percent","TotalSoilN","TotalSoilC_percent","TotalSoilC","success","diversity","Obs"
"11",53,"Clearview",11,"Low","High",2018,7,"Summer","70-90",161.871,NA,0,0,1.99,1.792,0.099497487,20,0.852562932,124.1098835,3.893624863,2.466456127,5.053868742,7.520324869,7.245002209,0.025499676,-0.120186624,0.610801251,0.0465,0.000465,0.4755,0.004755,0,1,53
"12",56,"Clearview",12,"Low","Low",2018,7,"Summer","30-70",269.726,12.5,25.052,0,1.998,1.771,0.113613614,40,0.658304252,204.0307746,5.642945214,3.871393892,0.291865284,4.163259177,5.130254927,0.118721887,0.03448908,5.828936805,0.057,0.00057,0.6905,0.006905,0,0,56
"13",57,"Clearview",12,"Low","Low",2018,7,"Summer","70-90",108.996,3,7.094,0,1.981,1.878,0.051993942,15,0.771411851,80.81247606,3.626207898,1.883437541,1.828290224,3.711727765,4.448799449,0.036036031,-0.022773112,-0.347442801,0.0255,0.000255,0.3555,0.003555,0,0,57
"14",60,"Clearview",12,"Low","Low",2018,7,"Summer","30-70",278.786,9,13.482,0,2.746,2.456,0.105608157,40,0.712685341,135.5716728,3.888463766,2.306373277,0.613611855,2.919985132,1.304718836,-0.094943492,-0.117173112,5.015295567,0.035,0.00035,0.391,0.00391,0,0,60
"15",61,"Clearview",12,"Low","Low",2018,7,"Summer","70-90",152.674,4,8.332,0,2.738,2.421,0.11577794,20,0.764377358,155.198475,4.235766935,3.696182539,1.232621515,4.928804054,31.7096975,3.106091153,-0.280391397,1.039361622,0.043,0.00043,0.408,0.00408,0,0,61
"16",64,"Conference House",13,"High","High",2018,8,"Summer","30-70",284.628,2,3.728,0,2.551,2.247,0.119168953,40,0.727837483,85.82431203,3.657421539,1.329900286,0.810349025,2.140249312,1.997038111,-0.008229461,0.065362421,1.198370129,0.072,0.00072,0.971,0.00971,1,1,64
"17",65,"Conference House",13,"High","High",2018,8,"Summer","70-90",145.992,5,7.529,0,2.019,1.861,0.078256563,20,0.7689646,77.10400089,3.397673147,2.504830543,0.537110945,3.041941488,0.217982675,-0.235391703,-0.265529323,1.501904347,0.0605,0.000605,1.138,0.01138,1,1,65
"18",66,"Conference House",13,"High","High",2018,8,"Summer","90-100",94.532,2.5,4.448,0.034,2.022,1.795,0.112265084,17.3,0.549828906,60.20322885,2.687609302,10.82673942,0.546784869,11.37352429,-0.178898296,-1.105593609,-1.113211395,114.7815987,0.173,0.00173,2.83,0.0283,1,1,66
"19",69,"Conference House",13,"High","High",2018,8,"Summer","30-70",244.219,2,3.133,0.008,2.376,2.124,0.106060606,40,0.633951043,90.24965841,3.550686569,2.11467594,-0.133907237,1.980768702,2.758580122,-0.075526853,-0.091861157,2.051205964,0.0805,0.000805,0.9535,0.009535,1,1,69
"20",70,"Conference House",13,"High","High",2018,8,"Summer","70-90",133.164,0.3,0.193,0,2.113,1.929,0.087079981,20,0.711254199,145.0105176,3.040728191,0.164353046,0.174247918,0.338600964,0.568454639,0.014388171,-0.033989309,1.097071646,0.033,0.00033,0.1775,0.001775,1,1,70
"21",71,"Conference House",13,"High","High",2018,8,"Summer","90-100",76.411,4,7.683,0.003,2.063,1.954,0.052835676,11.3,0.702959475,72.62884664,2.98428088,0.280515989,-0.093737048,0.186778941,-0.099137521,-0.0377735,-0.056492605,1.00640491,0.0205,0.000205,0.122,0.00122,1,1,71
"22",74,"Conference House",14,"High","Low",2018,8,"Summer","30-70",355.325,6,11.979,0,2.952,2.621,0.112127371,40,0.90743011,79.88947891,3.927825695,0.948990141,-0.00393175,0.945058391,1.158426024,-0.004845149,-0.023025405,1.670543624,0.022,0.00022,0.1585,0.001585,1,0,74
"23",77,"Conference House",14,"High","Low",2018,8,"Summer","30-70",285.267,5,11.148,0.98,2.138,1.914,0.104770814,40,0.727861039,130.9701016,3.930191172,26.11024031,1.05895152,27.16919183,3.354428673,-2.543659932,-2.491313832,1.514172857,0.058,0.00058,1.369,0.01369,1,0,77
"24",78,"Conference House",14,"High","Low",2018,8,"Summer","70-90",154.197,8.5,14.647,0,1.9,1.68,0.115789474,20,0.759458981,94.29868403,3.501523359,7.216410109,0.136911631,7.35332174,1.693848955,-0.644396166,-0.700922488,0.538497464,0.0275,0.000275,0.3025,0.003025,1,0,78
"25",79,"Conference House",14,"High","Low",2018,8,"Summer","90-100",88.414,3,5.796,0,2.001,1.835,0.082958521,11,0.832251421,79.179214,2.832404013,2.404309459,1.365612162,3.769921621,1.174215865,-0.373003871,-0.242619881,1.196086339,0.0225,0.000225,0.128,0.00128,1,0,79
"26",82,"Clove Lakes 2",15,"High","Low",2018,8,"Summer","30-70",298.595,6,11.652,0.019,3.731,3.373,0.095952828,40,0.772126565,153.7012103,5.203623583,0.992802631,0.647524333,1.640326964,1.488110303,-0.017913949,-0.005444525,-1.058495104,0.023,0.00023,0.1545,0.001545,1,0,82
"27",83,"Clove Lakes 2",15,"High","Low",2018,8,"Summer","70-90",159.857,8,16.005,0,2.563,2.381,0.071010535,20,0.819994678,137.4553538,4.992615103,-0.154429606,0.612158357,0.45772875,11.97072895,-0.064162299,-0.008788432,-2.224714578,0.02,2e-04,0.094,0.00094,1,0,83
"28",84,"Clove Lakes 2",15,"High","Low",2018,8,"Summer","90-100",149.1,5.5,10.946,0,2.415,2.253,0.067080745,19.3,0.808122009,127.4893886,4.156656279,-0.284237884,0.597012299,0.312774415,0.193291171,-0.037739116,-0.000619542,-9.761152534,0.016,0.00016,0.0805,0.000805,1,0,84
"29",87,"Clove Lakes 2",15,"High","Low",2018,8,"Summer","30-70",320.078,18,33.297,0.004,3.609,3.183,0.118038238,40,0.780767005,175.6611512,4.387208513,0.930809155,0.305116549,1.235925704,1.093359951,-0.015219088,0.005197456,-1.847805868,0.028,0.00028,0.198,0.00198,1,0,87
"30",88,"Clove Lakes 2",15,"High","Low",2018,8,"Summer","70-90",169.417,6,14.481,0,2.058,1.916,0.068999028,20,0.874358632,89.58559576,3.832234321,-0.278835958,2.655805562,2.376969603,0.482557061,-0.252679988,0.000598475,-2.508462924,0.0165,0.000165,0.0855,0.000855,1,0,88
"31",89,"Clove Lakes 2",15,"High","Low",2018,8,"Summer","90-100",21.323,0.8,1.607,0,2.298,2.265,0.014360313,2,1.192398254,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014,0.00014,0.079,0.00079,1,0,89
"32",92,"Clove Lakes 2",16,"High","High",2018,8,"Summer","30-70",280.25,20,41.345,0.006,3.171,2.802,0.116367077,40,0.655696986,138.1765626,3.911925223,-0.365168416,0.11656147,-0.248606946,2.22583139,0.224951177,0.205697448,-5.683909316,0.0945,0.000945,2.1045,0.021045,1,1,92
"33",93,"Clove Lakes 2",16,"High","High",2018,8,"Summer","70-90",146.51,9,15.549,0.045,3.846,3.49,0.092563703,20,0.733442798,105.7325396,3.782307078,26.49939224,0.211358896,26.71075114,0.453085332,-2.696383248,-2.686022384,-2.240613167,0.0385,0.000385,0.486,0.00486,1,1,93
"34",94,"Clove Lakes 2",16,"High","High",2018,8,"Summer","90-100",133.352,8,15.681,0,2.32,2.145,0.075431034,16.3,0.828327044,77.62225582,3.081173993,-0.392018319,0.116848435,-0.275169885,0.809370383,0.024144814,0.006701461,NA,0.022,0.00022,0.137,0.00137,1,1,94
"35",97,"Clove Lakes 2",16,"High","High",2018,8,"Summer","30-70",252.012,11,21.115,0.011,2.409,2.132,0.114985471,40,0.617434459,110.208888,4.349219385,0.566807941,0.17940098,0.746208921,1.490139577,0.001110644,-0.021141048,-1.971185542,0.068,0.00068,0.9335,0.009335,1,1,97
"36",98,"Clove Lakes 2",16,"High","High",2018,8,"Summer","70-90",133.242,5,7.582,0,2.711,2.492,0.080781999,20,0.695950148,82.41081503,3.928570245,-0.338688464,0.283407655,-0.055280809,1.486221069,-0.014510435,-0.000956009,-2.247937539,0.027,0.00027,0.2965,0.002965,1,1,98
"37",99,"Clove Lakes 2",16,"High","High",2018,8,"Summer","90-100",95.136,7,13.124,0,2.108,1.991,0.055502846,13.7,0.703437696,79.54070976,3.895471251,-0.320646729,0.060478191,-0.260168538,0.338733462,0.009388925,-0.000429306,-2.25438628,0.021,0.00021,0.116,0.00116,1,1,99
"38",102,"Clove Lakes 4",17,"High","High",2018,8,"Summer","30-70",274.395,11,23.577,0.004,3.801,3.482,0.083925283,40,0.694265421,97.2408344,3.906296582,0.651034755,0.484281569,1.135316323,2.81141164,-0.064988473,-0.066542601,0.507047293,0.025,0.00025,0.146,0.00146,1,1,102
"39",103,"Clove Lakes 4",17,"High","High",2018,8,"Summer","70-90",129.956,3.5,7.176,0.016,2.341,2.196,0.061939342,20,0.688044539,87.461921,3.722144804,0.203025879,0.212635363,0.415661242,3.324061669,0.005024917,-0.001126523,4.835151681,0.028,0.00028,0.3145,0.003145,1,1,103
"40",104,"Clove Lakes 4",17,"High","High",2018,8,"Summer","90-100",73.304,3,4.534,0,2.588,2.422,0.064142195,9.5,0.82287625,78.0911677,3.343092514,6.142769436,1.329684958,7.472454394,53.03874718,-0.759439307,-0.647812038,-0.355142025,0.0245,0.000245,0.108,0.00108,1,1,104
"41",107,"Clove Lakes 4",17,"High","High",2018,8,"Summer","30-70",305.054,3.5,6.306,0,3.006,2.636,0.123087159,40,0.77405541,106.6470603,3.784278496,1.37757341,0.637305207,2.014878618,11.06950736,-0.014568196,0.006168812,0.218728548,0.024,0.00024,0.1865,0.001865,1,1,107
"42",108,"Clove Lakes 4",17,"High","High",2018,8,"Summer","70-90",160.506,9,18.987,0,2.808,2.551,0.091524217,20,0.793753184,89.87202464,3.109400473,-0.165578397,0.306228698,0.140650301,3.04151246,-0.00980764,-0.009973543,-4.016806108,0.0155,0.000155,0.096,0.00096,1,1,108
"43",109,"Clove Lakes 4",17,"High","High",2018,8,"Summer","90-100",142.644,4,7.689,0,2.495,2.269,0.090581162,17,0.868415631,79.96414773,3.004763577,-0.308911935,1.545933367,1.237021433,1.977217238,-0.151358794,-0.009036832,-0.349930236,0.018,0.00018,0.0775,0.000775,1,1,109
"44",112,"Clove Lakes 4",18,"High","Low",2018,8,"Summer","30-70",259.731,9,17.376,0.028,2.231,1.991,0.107575078,40,0.649530717,99.1631119,4.266453639,1.159025449,1.215790951,2.3748164,2.636687374,-0.163402479,-0.057445904,0.073645074,0.0365,0.000365,0.3445,0.003445,1,0,112
"45",113,"Clove Lakes 4",18,"High","Low",2018,8,"Summer","70-90",139.935,9,17.098,0,2.261,2.075,0.082264485,20,0.695991786,89.07147188,4.073378767,1.685941839,0.858418054,2.544359893,4.854373418,-0.111946455,-0.10247006,-0.658092725,0.0265,0.000265,0.3145,0.003145,1,0,113
"46",114,"Clove Lakes 4",18,"High","Low",2018,8,"Summer","90-100",132.898,9.5,20.599,0,2.892,2.718,0.060165975,13,1.038471681,77.68099735,3.399995864,1.361644398,0.438883676,1.800528074,2.412072098,0.261363787,-0.081307943,-0.336287552,0.0225,0.000225,0.216,0.00216,1,0,114
"47",117,"Clove Lakes 4",18,"High","Low",2018,8,"Summer","30-70",281.892,11,24.989,0.011,2.863,2.588,0.096053091,40,0.701675588,85.60130759,3.543916731,0.367378213,1.636283918,2.003662132,1.248169368,-0.177223507,-0.020491779,0.203422197,0.0265,0.000265,0.208,0.00208,1,0,117
"48",118,"Clove Lakes 4",18,"High","Low",2018,8,"Summer","70-90",152.176,4.5,7.77,0,2.172,2.007,0.075966851,20,0.80202876,101.2039323,3.876304002,-0.080030634,0.515395758,0.435365124,1.251263849,0.054599204,-0.013843571,0.123062551,0.0175,0.000175,0.0845,0.000845,1,0,118
"49",119,"Clove Lakes 4",18,"High","Low",2018,8,"Summer","90-100",46.947,2.5,3.666,0,2.06,1.947,0.054854369,5.5,0.918892102,142.858243,6.179680609,-0.279790935,0.812012545,0.53222161,0.377856314,-0.046348536,-0.009906147,-0.062234994,0.0195,0.000195,0.0875,0.000875,1,0,119
"50",124,"Fort Totten",19,"High","High",2018,8,"Summer","30-60",228.229,6.5,16.887,0,2.722,2.445,0.101763409,30,0.759463503,100.8527003,9.840619627,1.951925538,0.321442019,2.273367556,2.098423919,0.184747366,0.213704527,-0.96332002,0.032,0.00032,0.458,0.00458,1,1,124
"51",125,"Fort Totten",19,"High","High",2018,8,"Summer","60-78",131.868,2.5,2.411,0,3.212,2.875,0.104919054,18,0.76547619,95.43042495,7.420000481,0.726478723,0.220818702,0.947297425,1.911714489,0.039455959,0.057239651,-0.205583978,0.0285,0.000285,0.3125,0.003125,1,1,125
"52",128,"Fort Totten",20,"High","Low",2018,8,"Summer","30-70",292.501,5.5,10.198,0,2.081,1.909,0.082652571,40,0.769722129,105.5925657,5.865908365,2.007091993,0.068986275,2.076078268,2.339709691,-0.01945169,-0.02156637,0.499245431,0.029,0.00029,0.4575,0.004575,1,0,128
"53",129,"Fort Totten",20,"High","Low",2018,8,"Summer","70-90",134.996,3.5,5.785,0.006,2.55,2.404,0.057254902,20,0.727325482,90.84778979,4.866146691,2.906627704,0.078269858,2.984897562,4.510885569,-0.175663753,-0.166565433,0.144038525,0.0285,0.000285,0.319,0.00319,1,0,129
"54",130,"Fort Totten",20,"High","Low",2018,8,"Summer","90-100",84.882,0.8,1.411,0,2.657,2.58,0.028980053,13,0.734616208,90.76081894,4.61185918,0.542685524,0.088281257,0.630966781,0.861984366,-0.011100192,-0.006929734,-0.419708242,0.02,2e-04,0.197,0.00197,1,0,130
"55",133,"Fort Totten",20,"High","Low",2018,8,"Summer","30-60",211.783,5.5,8.603,0.005,3.173,2.841,0.10463284,30,0.724882791,92.96749069,9.627191683,0.970822728,0.253581883,1.224404612,0.176375841,0.010309527,0.032873179,0.328608952,0.0175,0.000175,0.152,0.00152,1,0,133
"56",134,"Fort Totten",20,"High","Low",2018,8,"Summer","60-74.5",98.61,1.5,1.823,0,2.449,2.217,0.094732544,14.5,0.716095108,87.98953795,3.987964528,-0.05811562,0.707525396,0.649409775,0.659667653,-0.09508818,-0.009076579,-0.633255483,0.015,0.00015,0.121,0.00121,1,0,134
"57",137,"Marine Park 1",21,"High","High",2018,7,"Summer","30-70",279.338,12,-0.003,-0.782,2.728,2.604,0.045454545,40,0.813623791,109.2445054,3.388453394,1.458034304,0.61758034,2.075614644,2.275138339,0.012660606,-0.020998693,-0.104579827,0.0385,0.000385,0.9495,0.009495,1,1,137
"58",138,"Marine Park 1",21,"High","High",2018,7,"Summer","70-90",143.892,3,3.29,0,2.398,2.301,0.040450375,20,0.803192158,77.93044655,3.751819061,0.320647431,0.374828311,0.695475742,2.698794375,0.012137848,-0.04243097,-0.398037865,0.024,0.00024,0.2525,0.002525,1,1,138
"59",139,"Marine Park 1",21,"High","High",2018,7,"Summer","90-100",136.296,NA,0,0,2.494,2.409,0.034081796,21,0.733342121,50.42734858,4.214606096,0.711079389,0.065099856,0.776179244,1.256645722,-0.00142856,-0.034754539,0.181827128,0.014,0.00014,0.079,0.00079,1,1,139
"60",142,"Marine Park 1",21,"High","High",2018,7,"Summer","30-70",279.598,7,14.937,0.001,3.413,3.205,0.060943452,40,0.742002311,95.10975821,3.270946051,2.904564252,0.551032979,3.455597231,1.566653239,-0.059265378,-0.095059817,-0.692948356,0.034,0.00034,0.572,0.00572,1,1,142
"61",143,"Marine Park 1",21,"High","High",2018,7,"Summer","70-90",131.984,NA,0,0,3.161,3.087,0.023410313,20,0.753886363,87.89765183,3.781696587,1.689749535,0.079083194,1.768832729,0.745860369,-0.06441609,-0.071118458,-0.505323487,0.015,0.00015,0.0725,0.000725,1,1,143
"62",144,"Marine Park 1",21,"High","High",2018,7,"Summer","90-100",49.334,NA,0,0.008,0.712,0.686,0.036516854,7.5,0.741244051,175.2555375,6.648876924,0.802985554,0.152382602,0.955368157,1.659819686,-0.064840011,-0.087271889,-1.306460082,0.0295,0.000295,0.148,0.00148,1,1,144
"63",147,"Marine Park 1",22,"High","High",2018,7,"Summer","30-70",280.404,12.5,27.66,0.053,1.879,1.798,0.043108036,40,0.733953325,107.9948513,3.368631595,3.153086571,0.176585825,3.329672397,3.14010916,-0.149646723,-0.181175292,-0.440368662,0.0325,0.000325,0.7145,0.007145,1,1,147
"64",148,"Marine Park 1",22,"High","High",2018,7,"Summer","70-90",146.735,5,13.502,0,2.43,2.147,0.116460905,20,0.709251289,179.7123031,4.767130889,6.174329931,0.482955754,6.657285685,8.658292149,0.884153718,0.858127746,7.751537163,0.1155,0.001155,2.3365,0.023365,1,1,148
"65",149,"Marine Park 1",22,"High","High",2018,7,"Summer","90-100",83.929,0.1,0.205,0,1.039,1.002,0.035611165,12.5,0.756312373,152.8294407,6.423107372,0.65082639,0.220484792,0.871311182,1.220809134,0.051264225,0.024249827,0.177886687,0.0275,0.000275,0.167,0.00167,1,1,149
"66",152,"Marine Park 1",22,"High","High",2018,7,"Summer","30-70",270.053,4,11.299,0.267,2.457,2.345,0.045584046,40,0.730010466,101.861787,4.079500877,2.504614043,0.246432542,2.751046585,5.148908259,-0.096710344,-0.121416929,-0.818973661,0.0555,0.000555,0.7735,0.007735,1,1,152
"67",153,"Marine Park 1",22,"High","High",2018,7,"Summer","70-90",139.374,3,4.799,0,2.831,2.649,0.064288237,20,0.749664592,98.27639974,3.822758654,2.034213131,0.3550535,2.38926663,4.242642213,-0.006188323,-0.025231503,-0.591345743,0.0465,0.000465,0.628,0.00628,1,1,153
"68",154,"Marine Park 1",22,"High","High",2018,7,"Summer","90-100",78.637,NA,0,0,2.697,2.533,0.060808306,12,0.719950102,231.7337652,6.423157814,0.473676106,0.157347266,0.631023371,0.300386803,0.085208697,0.111521325,0.195382477,0.0255,0.000255,0.139,0.00139,1,1,154
"69",157,"Marine Park 1",23,"High","Low",2018,7,"Summer","30-70",300.446,12,31.917,0.002,2.896,2.768,0.044198895,40,0.777880027,62.54645311,2.902088785,1.247084297,0.25851169,1.505595986,2.105622138,0.115062866,0.049037431,NA,0.035,0.00035,0.3455,0.003455,1,0,157
"70",158,"Marine Park 1",23,"High","Low",2018,7,"Summer","70-90",129.183,NA,0,0,2.454,2.355,0.040342298,20,0.725093792,61.71994133,2.683486879,-0.036544444,0.164745033,0.128200589,0.62511692,0.03352187,-0.007728862,NA,0.014,0.00014,0.08,8e-04,1,0,158
"71",159,"Marine Park 1",23,"High","Low",2018,7,"Summer","90-100",29.793,NA,0,0,1.032,1.007,0.024224806,4,0.850171382,125.1073307,5.038111828,-0.408298835,0.209642483,-0.198656353,3.040059101,0.022658392,0.018419114,NA,0.0155,0.000155,0.0825,0.000825,1,0,159
"72",162,"Marine Park 1",23,"High","Low",2018,7,"Summer","30-70",290.028,3,11.072,0.005,3.278,3.012,0.081147041,40,0.756211762,139.7689402,3.967595742,4.946467509,0.407069124,5.353536633,5.990488933,0.136376849,0.118872265,NA,0.0535,0.000535,0.6065,0.006065,1,0,162
"73",163,"Marine Park 1",23,"High","Low",2018,7,"Summer","70-90",138.668,0.4,0.684,0,2.094,1.986,0.051575931,20,0.767221933,123.211783,3.66578558,-0.140903327,0.18846231,0.047558983,1.711386733,0.235805809,0.137417662,NA,0.0315,0.000315,0.445,0.00445,1,0,163
"74",164,"Marine Park 1",23,"High","Low",2018,7,"Summer","90-100",90.597,NA,0,0,2.199,2.095,0.047294225,14,0.721185593,83.1998423,3.252812328,0.785644217,0.270169584,1.055813801,2.461484074,0.106864866,0.059341253,NA,0.025,0.00025,0.1335,0.001335,1,0,164
"75",167,"Marine Park 1",24,"High","Low",2018,7,"Summer","30-70",268.526,5,13.849,0.008,3.114,2.977,0.043994862,40,0.722563475,86.1016956,2.978616959,1.213062177,0.479200692,1.692262869,1.691405208,0.012893569,0.020834662,NA,0.0395,0.000395,0.383,0.00383,1,0,167
"76",168,"Marine Park 1",24,"High","Low",2018,7,"Summer","70-90",127.414,NA,0,0,2.164,2.095,0.031885397,20,0.721466863,105.5079091,2.920333699,-0.1523566,0.189622402,0.037265802,0.364216121,0.007665932,0.003977621,NA,0.016,0.00016,0.0785,0.000785,1,0,168
"77",169,"Marine Park 1",24,"High","Low",2018,7,"Summer","90-100",17.495,NA,0,0,0.89,0.863,0.030337079,2.5,0.793774587,88.33327872,7.286828577,-0.050696613,0.075673636,0.024977022,1.00057429,0.008709844,0.005918391,NA,0.0155,0.000155,0.095,0.00095,1,0,169
"78",172,"Marine Park 1",24,"High","Low",2018,7,"Summer","30-70",257.322,8,16.177,0.001,1.9,1.836,0.033684211,40,0.697781242,70.4753138,4.255614108,1.121216862,0.204880465,1.326097327,0.832169464,-0.039110213,-0.053614481,NA,0.037,0.00037,0.4295,0.004295,1,0,172
"79",173,"Marine Park 1",24,"High","Low",2018,7,"Summer","70-90",131.059,0.2,0.212,0,1.99,1.927,0.031658291,20,0.741947542,89.84864499,3.352131974,1.375981967,0.900338927,2.276320894,0.245769123,-0.269015956,-0.209903954,NA,0.018,0.00018,0.077,0.00077,1,0,173
"80",174,"Marine Park 1",24,"High","Low",2018,7,"Summer","90-100",32.158,NA,0,0,1.64,1.588,0.031707317,5,0.728497625,167.9460512,6.671005056,-0.460605034,0.390290096,-0.070314939,0.285638074,0.023386082,0.003068612,NA,0.013,0.00013,0.075,0.00075,1,0,174
"81",177,"Marine Park 2",25,"High","High",2018,7,"Summer","30-60",15.031,0.4,1.264,0,2.239,2.185,0.02411791,2,0.804619234,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.041,0.00041,1.0645,0.010645,1,1,177
"82",180,"Marine Park 2",25,"High","High",2018,7,"Summer","30-70",238.719,5,9.214,0.028,2.502,2.385,0.04676259,40,0.649202131,79.1381047,3.709507974,1.127044147,-0.259384301,0.867659845,17.02521285,0.155010312,0.134593113,-0.539521458,0.0915,0.000915,1.466,0.01466,1,1,180
"83",181,"Marine Park 2",25,"High","High",2018,7,"Summer","70-90",124.714,NA,0,0,3.182,3.119,0.019798869,20,0.714994788,57.79895006,3.499546514,-0.242900707,-0.219540437,-0.462441144,4.77392351,-0.048029815,-0.049557368,-0.492670962,0.0225,0.000225,0.2265,0.002265,1,1,181
"84",182,"Marine Park 2",25,"High","High",2018,7,"Summer","90-100",9.776,NA,0,0,2.075,2.075,0,2,0.571786188,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0155,0.000155,0.0815,0.000815,1,1,182
"85",185,"Marine Park 2",26,"High","High",2018,7,"Summer","30-70",248.071,1.4,2.94,0.148,2.227,2.108,0.053435115,40,0.680942678,119.1722345,4.220764876,1.672948834,0.121308475,1.794257309,2.414902688,0.161199607,0.183760259,-0.547186207,0.073,0.00073,0.867,0.00867,1,1,185
"86",186,"Marine Park 2",26,"High","High",2018,7,"Summer","70-90",100.501,NA,0,0,2.676,2.633,0.016068759,15,0.771163272,67.01537846,3.394614224,-0.074541788,-0.103028371,-0.177570159,-0.089449655,-0.038451774,-0.030155191,-0.277946454,0.016,0.00016,0.0735,0.000735,1,1,186
"87",189,"Marine Park 2",26,"High","High",2018,7,"Summer","30-70",254.897,5,12.119,0.029,3.031,2.925,0.034971956,40,0.695243726,104.3479402,3.689228239,1.349477883,0.094931363,1.444409246,0.301897154,0.15374766,0.165594866,0.274101042,0.0705,0.000705,1.357,0.01357,1,1,189
"88",190,"Marine Park 2",26,"High","High",2018,7,"Summer","70-90",130.598,NA,0,0,3.015,2.952,0.020895522,20,0.747890524,59.99496935,2.774133024,3.337030701,-0.294750552,3.04228015,11.06969443,-0.407398123,-0.410028991,-0.414100051,0.017,0.00017,0.08,8e-04,1,1,190
"89",191,"Marine Park 2",26,"High","High",2018,7,"Summer","90-100",44.473,NA,0,0,2.087,2.047,0.019166267,7,0.728947488,115.0731338,5.07776315,1.003200517,-0.296587316,0.706613201,9.60741603,-0.099353502,-0.117878521,0.230247036,0.021,0.00021,0.076,0.00076,1,1,191
"90",194,"Marine Park 2",27,"High","Low",2018,7,"Summer","30-60",179.787,3,3.946,0.039,2.779,2.648,0.047139259,30,0.660913574,97.44513973,4.251831181,2.761581765,-0.357427757,2.404154007,-0.043637255,0.951862312,0.926816488,-0.037317807,0.0645,0.000645,0.926,0.00926,1,0,194
