"","X","Site","Plot","Success","Diversity","Year","Month","Season","CoreSection_cm","TotalSoilWeight_g","RockVolume_cm3","RockMass_g","RootMass_g","WetSoilWeight_g","DrySoilWeight_g","Moisture_g","SectionLength_cm","BulkDensity_g_cm3","BiomassC","Respiration","NO2_NO3","NH4","TIN","BiomassN","Mineralization","Nitrification","DEA","TotalSoilN_percent","TotalSoilN","TotalSoilC_percent","TotalSoilC","success","diversity","Obs","coresection"
"21",21,"Canarsie",5,"Low","High",2018,6,"Summer","10--30",149.25,14,29.811,0,2.365,2.143,0.093868922,20,0.689465003,124.432108,8.567744004,5.823472728,0.700422614,6.523895342,4.144033427,-0.208195779,-0.311389013,-3.892749208,0.0765,0.000765,1.792,0.01792,0,1,21,2
"22",22,"Canarsie",5,"Low","High",2018,6,"Summer","30-70",156.137,18,29.622,0,2.384,2.205,0.075083893,19.6,0.782433912,75.37301275,6.551024152,1.414712396,0.933897971,2.348610366,29.89774321,-0.196410296,-0.260790359,-4.80510722,0.0495,0.000495,1.4255,0.014255,0,1,22,3
"23",23,"Canarsie",6,"Low","High",2018,6,"Summer","0-10",56.4,3.5,5.712,0.033,1.166,1.052,0.097770154,10,0.557438759,281.5379632,18.5473396,11.15332485,0.232875162,11.38620002,2.073159075,0.380052143,0.23998072,-0.774733528,0.1,0.001,1.9885,0.019885,0,1,23,1
"24",24,"Canarsie",6,"Low","High",2018,6,"Summer","10--30",110.43,8,17.438,0,1.672,1.532,0.083732057,14.7,0.724136118,135.0953956,7.489296134,2.420635417,0.698358101,3.118993518,14.23943711,-0.142654062,-0.233446342,-4.637810225,0.038,0.00038,1.182,0.01182,0,1,24,2
"25",25,"Canarsie",6,"Low","High",2018,6,"Summer","0-10",45.87,3,5.61,0,1.366,1.231,0.098828697,10,0.43984357,320.763638,19.32197767,-4.997140065,1.259346643,-3.737793422,1.590398821,-0.00836852,-0.124720993,0.429245149,0.087,0.00087,2.3965,0.023965,0,1,25,1
"26",26,"Canarsie",6,"Low","High",2018,6,"Summer","10--30",117.8,19,30.98,0,1.835,1.674,0.08773842,16.2,0.66284869,144.6433952,7.301652662,2.852011551,-0.507637304,2.344374247,100.3377571,0.00292201,-0.190412814,-5.14939447,0.0445,0.000445,1.499,0.01499,0,1,26,2
"27",27,"Canarsie",7,"Low","Low",2018,6,"Summer","0-10",50.339,4,6.533,0.004,1.455,1.274,0.124398625,10,0.470668042,356.741349,23.7564071,26.98766277,0.404204159,27.39186693,1.478635358,-0.335325948,-0.472795772,-0.24377515,0.132,0.00132,2.0945,0.020945,0,0,27,1
"28",28,"Canarsie",7,"Low","Low",2018,6,"Summer","10--30",142.641,12,20.691,0,2.425,2.198,0.093608247,20,0.695303443,155.5449979,6.746520591,0.855333146,-0.139197705,0.716135441,-4.793500471,0.219101504,-0.035458007,-0.575121556,0.0515,0.000515,0.9525,0.009525,0,0,28,2
"29",29,"Canarsie",7,"Low","Low",2018,6,"Summer","30-70",90.44,13,24.8,0,1.592,1.492,0.06281407,11.7,0.706934572,103.4279805,5.567815413,-5.067975195,0.018946758,-5.049028437,14.27353498,0.13328382,0.014646461,-2.299811057,0.035,0.00035,1.246,0.01246,0,0,29,3
"30",30,"Canarsie",7,"Low","Low",2018,6,"Summer","0-10",59.4,6,12.387,0.048,0.938,0.834,0.1108742,10,0.52534447,268.7967775,16.96252844,2.117749244,-0.587178738,1.530570507,-3.936454352,0.275710318,-0.072511826,3.780395034,0.1135,0.001135,2.108,0.02108,0,0,30,1
"31",31,"Canarsie",7,"Low","Low",2018,6,"Summer","10--30",128.316,8,14.705,0,1.953,1.802,0.077316948,18.1,0.714417914,129.7251225,6.847259519,-5.9671545,-0.146936778,-6.114091277,18.78771245,0.155679589,0.023308561,-2.328230951,0.036,0.00036,0.7865,0.007865,0,0,31,2
"32",32,"Canarsie",8,"Low","Low",2018,6,"Summer","0-10",41.947,2,3.506,0.17,0.789,0.727,0.078580482,10,0.422387409,260.0673838,18.33314726,3.362007927,-0.081546037,3.280461889,-0.758321101,0.175663145,-0.012661989,-0.410499626,0.094,0.00094,1.7975,0.017975,0,0,32,1
"33",33,"Canarsie",8,"Low","Low",2018,6,"Summer","10--30",40.131,5,9.044,0,1.007,0.95,0.056603774,14,0.255729658,300.2239557,20.66165206,-3.389235425,-0.457092937,-3.846328361,24.17419455,0.47351131,-0.19428219,2.159658741,0.048,0.00048,0.948,0.00948,0,0,33,2
"34",34,"Canarsie",8,"Low","Low",2018,6,"Summer","0-10",55.827,7,13.692,0.044,1.2,1.088,0.093333333,10,0.486230201,230.1701409,15.13022209,2.988752613,-0.452313861,2.536438752,1.456155217,0.22079899,0.042062166,0.942045579,0.0885,0.000885,1.552,0.01552,0,0,34,1
"35",35,"Canarsie",8,"Low","Low",2018,6,"Summer","10--30",84.487,9.5,18.724,0,0.977,0.902,0.076765609,11.4,0.690295406,206.4267296,8.794047127,-1.161587481,-1.088300668,-2.24988815,-6.532711016,0.350804151,0.040874029,-4.173271238,0.0525,0.000525,1.454,0.01454,0,0,35,2
"36",36,"Clearview",9,"Low","Low",2018,7,"Summer","0-10",54.633,1.5,2.789,0.136,2.037,1.847,0.093274423,10,0.558244076,377.4764034,6.738947537,8.188556815,2.404293255,10.59285007,20.62014997,-0.006130184,0.039747816,400.3198334,0.1155,0.001155,1.4995,0.014995,0,0,36,1
"37",37,"Clearview",9,"Low","Low",2018,7,"Summer","10--30",137.905,5,11.584,0,1.985,1.865,0.060453401,20,0.715082971,137.8792527,4.440732261,2.424216703,1.352292001,3.776508704,3.559982177,-0.00800089,0.00464192,4.172694192,0.031,0.00031,0.4375,0.004375,0,0,37,2
"38",38,"Clearview",9,"Low","Low",2018,7,"Summer","30-70",297.505,10.5,24.337,0,1.96,1.812,0.075510204,40,0.761937174,114.7463786,6.098439497,3.397810547,0.849242434,4.247052981,3.870268291,-0.081941306,-0.124602642,0.634636463,0.025,0.00025,0.258,0.00258,0,0,38,3
"39",39,"Clearview",9,"Low","Low",2018,7,"Summer","70-90",94.962,3,5.712,0,2.075,1.915,0.077108434,12,0.82712321,139.11851,4.873692354,1.591825763,9.0638557,10.65568146,10.89170121,0.156137277,-0.044542615,0.302817088,0.0245,0.000245,0.2975,0.002975,0,0,39,3
"40",40,"Clearview",10,"Low","High",2018,7,"Summer","0-10",42.189,1.5,3.365,0.293,1.982,1.717,0.13370333,10,0.397436219,638.1192178,12.52739461,21.7380612,0.845540666,22.58360186,61.28716892,0.283363778,0.204559119,271.9321464,0.14,0.0014,1.88,0.0188,0,1,40,1
"41",41,"Clearview",10,"Low","High",2018,7,"Summer","10--30",136.777,7,14.26,0,1.986,1.897,0.044813696,20,0.713694086,206.5684328,3.472864432,1.61267966,0.620142765,2.232822426,4.989811863,0.19116722,0.173622865,3.997965969,0.0255,0.000255,0.3175,0.003175,0,1,41,2
"42",42,"Clearview",10,"Low","High",2018,7,"Summer","30-60",220.724,12,24.446,0,2.14,2.044,0.044859813,30,0.76688779,115.760853,4.100149218,1.506146276,0.218579357,1.724725633,1.728842114,-0.018974498,-0.073239129,0.335259093,0.017,0.00017,0.135,0.00135,0,1,42,3
"43",43,"Clearview",10,"Low","High",2018,7,"Summer","60-80",129.358,5.5,14.118,0,2.001,1.894,0.053473263,16.5,0.804688664,155.551306,4.000862285,2.269000194,0.284817736,2.55381793,1.721487025,-0.107354312,-0.164374063,1.289169623,0.028,0.00028,0.468,0.00468,0,1,43,3
"44",44,"Clearview",10,"Low","High",2018,7,"Summer","0-10",41.175,1.5,3.445,0.254,1.992,1.813,0.089859438,10,0.40611798,223.1517851,7.209652532,7.493783202,0.596583907,8.090367109,20.43286381,-0.053633203,-0.12695105,249.4960797,0.139,0.00139,1.7465,0.017465,0,1,44,1
"45",45,"Clearview",10,"Low","High",2018,7,"Summer","10--30",115.936,2,4.937,0,1.957,1.825,0.067450179,20,0.612595489,203.4162171,3.784085538,2.795247271,0.111422329,2.9066696,2.654660315,-0.183767815,-0.209820264,6.635276431,0.0585,0.000585,0.651,0.00651,0,1,45,2
"46",46,"Clearview",10,"Low","High",2018,7,"Summer","30-70",278.03,12,22.981,0,2.116,1.967,0.070415879,40,0.718570616,88.99364113,3.090067661,1.668335078,0.138638892,1.806973971,1.432212927,0.659007121,-0.061631325,0.204600461,0.025,0.00025,0.2385,0.002385,0,1,46,3
"47",47,"Clearview",10,"Low","High",2018,7,"Summer","70-90",105.56,3,6.632,0,2.03,1.854,0.086699507,14,0.77434127,112.3723536,3.674473035,2.525359725,1.036033122,3.561392847,1.18475433,-0.249190324,-0.19123271,184.7085732,0.0275,0.000275,0.292,0.00292,0,1,47,3
"48",48,"Clearview",11,"Low","High",2018,7,"Summer","0-10",43.231,3,5.109,0.305,1.997,1.82,0.088632949,10,0.417827981,432.3292899,9.429236772,8.262071485,1.093530743,9.355602229,7.973162454,0.206606015,0.141855253,483.0354916,0.1495,0.001495,2.122,0.02122,0,1,48,1
"49",49,"Clearview",11,"Low","High",2018,7,"Summer","10--30",106.098,5,6.728,0,2.008,1.903,0.052290837,17,0.671102682,96.09186705,3.698597131,3.262314367,0.804204545,4.066518912,1.327893284,-0.249458555,-0.236483285,5.281327784,0.029,0.00029,0.3465,0.003465,0,1,49,2
"50",50,"Clearview",11,"Low","High",2018,7,"Summer","0-10",55.168,6,9.163,0.07,2.025,1.879,0.072098765,10,0.536231224,178.6863538,7.13602722,15.53614076,0.620183328,16.15632408,8.120362008,-0.809105089,-0.796752948,248.9859548,0.102,0.00102,1.783,0.01783,0,1,50,1
"51",51,"Clearview",11,"Low","High",2018,7,"Summer","10--30",144.337,6.5,12.962,0,1.994,1.884,0.055165496,20,0.754699148,102.2279419,3.915604949,1.670412686,0.472309341,2.142722027,1.806882999,-0.014653177,-0.019309389,1.029500478,0.0355,0.000355,0.482,0.00482,0,1,51,2
"52",52,"Clearview",11,"Low","High",2018,7,"Summer","30-70",297.032,7,14.671,0,2.136,1.932,0.095505618,40,0.762492874,101.6454347,3.899186998,2.84492236,0.948067856,3.792990215,1.920080676,-0.185406272,-0.123753118,-15.00905911,0.044,0.00044,0.401,0.00401,0,1,52,3
"53",53,"Clearview",11,"Low","High",2018,7,"Summer","70-90",161.871,NA,0,0,1.99,1.792,0.099497487,20,0.852562932,124.1098835,3.893624863,2.466456127,5.053868742,7.520324869,7.245002209,0.025499676,-0.120186624,0.610801251,0.0465,0.000465,0.4755,0.004755,0,1,53,3
"54",54,"Clearview",12,"Low","Low",2018,7,"Summer","0-10",44.518,1.5,3.677,0.059,1.887,1.769,0.062533121,10,0.455213329,157.7732643,6.918773614,2.981660416,0.931176968,3.912837384,4.389604247,0.175868006,0.0892972,88.84815345,0.0885,0.000885,1.1485,0.011485,0,0,54,1
"55",55,"Clearview",12,"Low","Low",2018,7,"Summer","10--30",133.745,2.5,4.907,0,2.022,1.898,0.06132542,20,0.717841764,122.141673,3.837662271,15.53853888,3.698322229,19.23686111,20.46832747,0.165220848,0.152411416,3.312271383,0.0305,0.000305,0.283,0.00283,0,0,55,2
"56",56,"Clearview",12,"Low","Low",2018,7,"Summer","30-70",269.726,12.5,25.052,0,1.998,1.771,0.113613614,40,0.658304252,204.0307746,5.642945214,3.871393892,0.291865284,4.163259177,5.130254927,0.118721887,0.03448908,5.828936805,0.057,0.00057,0.6905,0.006905,0,0,56,3
"57",57,"Clearview",12,"Low","Low",2018,7,"Summer","70-90",108.996,3,7.094,0,1.981,1.878,0.051993942,15,0.771411851,80.81247606,3.626207898,1.883437541,1.828290224,3.711727765,4.448799449,0.036036031,-0.022773112,-0.347442801,0.0255,0.000255,0.3555,0.003555,0,0,57,3
"58",58,"Clearview",12,"Low","Low",2018,7,"Summer","0-10",62.297,2,3.991,0.051,1.305,1.243,0.047509579,10,0.664626371,166.700128,7.127317344,1.295114469,NA,NA,7.091170848,NA,0.468701067,32.75928891,0.076,0.00076,0.883,0.00883,0,0,58,1
"59",59,"Clearview",12,"Low","Low",2018,7,"Summer","10--30",132.948,4.5,8.497,0,1.644,1.523,0.073600973,20,0.692552458,138.4012864,3.483163717,2.459536202,0.462317663,2.921853865,2.540017432,0.032509203,-0.099616836,3.121397477,0.034,0.00034,0.42,0.0042,0,0,59,2
"60",60,"Clearview",12,"Low","Low",2018,7,"Summer","30-70",278.786,9,13.482,0,2.746,2.456,0.105608157,40,0.712685341,135.5716728,3.888463766,2.306373277,0.613611855,2.919985132,1.304718836,-0.094943492,-0.117173112,5.015295567,0.035,0.00035,0.391,0.00391,0,0,60,3
"61",61,"Clearview",12,"Low","Low",2018,7,"Summer","70-90",152.674,4,8.332,0,2.738,2.421,0.11577794,20,0.764377358,155.198475,4.235766935,3.696182539,1.232621515,4.928804054,31.7096975,3.106091153,-0.280391397,1.039361622,0.043,0.00043,0.408,0.00408,0,0,61,3
"62",62,"Conference House",13,"High","High",2018,8,"Summer","0-10",72.734,NA,0,0,2.306,2.08,0.098005204,10,0.767439181,790.0289428,18.19033438,0.253894165,1.588825546,1.842719711,63.56317523,6.466120339,2.322746061,297.6525339,0.027,0.00027,0.155,0.00155,1,1,62,1
"63",63,"Conference House",13,"High","High",2018,8,"Summer","10--30",146.911,NA,0,0,2.159,1.937,0.102825382,20,0.770910145,85.34781096,4.214095266,0.124568713,1.282738415,1.407307128,2.527506368,0.482481057,0.594778347,1.509211441,0.028,0.00028,0.157,0.00157,1,1,63,2
"64",64,"Conference House",13,"High","High",2018,8,"Summer","30-70",284.628,2,3.728,0,2.551,2.247,0.119168953,40,0.727837483,85.82431203,3.657421539,1.329900286,0.810349025,2.140249312,1.997038111,-0.008229461,0.065362421,1.198370129,0.072,0.00072,0.971,0.00971,1,1,64,3
"65",65,"Conference House",13,"High","High",2018,8,"Summer","70-90",145.992,5,7.529,0,2.019,1.861,0.078256563,20,0.7689646,77.10400089,3.397673147,2.504830543,0.537110945,3.041941488,0.217982675,-0.235391703,-0.265529323,1.501904347,0.0605,0.000605,1.138,0.01138,1,1,65,3
"66",66,"Conference House",13,"High","High",2018,8,"Summer","90-100",94.532,2.5,4.448,0.034,2.022,1.795,0.112265084,17.3,0.549828906,60.20322885,2.687609302,10.82673942,0.546784869,11.37352429,-0.178898296,-1.105593609,-1.113211395,114.7815987,0.173,0.00173,2.83,0.0283,1,1,66,3
"67",67,"Conference House",13,"High","High",2018,8,"Summer","0-10",36.538,1,1.43,0.667,2.001,1.79,0.105447276,10,0.364665247,124.894862,12.24818962,70.70286821,1.96769983,72.67056804,68.47414252,-4.997663427,-4.936326627,243.1779153,0.201,0.00201,2.868,0.02868,1,1,67,1
"68",68,"Conference House",13,"High","High",2018,8,"Summer","10--30",119.331,5,9.268,0,2.354,2.223,0.055649958,20,0.628506459,108.6918339,3.257778198,5.598555733,0.118400869,5.716956602,5.074698384,-0.3315106,-0.338450718,1.303175573,0.0745,0.000745,1.5335,0.015335,1,1,68,2
"69",69,"Conference House",13,"High","High",2018,8,"Summer","30-70",244.219,2,3.133,0.008,2.376,2.124,0.106060606,40,0.633951043,90.24965841,3.550686569,2.11467594,-0.133907237,1.980768702,2.758580122,-0.075526853,-0.091861157,2.051205964,0.0805,0.000805,0.9535,0.009535,1,1,69,3
"70",70,"Conference House",13,"High","High",2018,8,"Summer","70-90",133.164,0.3,0.193,0,2.113,1.929,0.087079981,20,0.711254199,145.0105176,3.040728191,0.164353046,0.174247918,0.338600964,0.568454639,0.014388171,-0.033989309,1.097071646,0.033,0.00033,0.1775,0.001775,1,1,70,3
"71",71,"Conference House",13,"High","High",2018,8,"Summer","90-100",76.411,4,7.683,0.003,2.063,1.954,0.052835676,11.3,0.702959475,72.62884664,2.98428088,0.280515989,-0.093737048,0.186778941,-0.099137521,-0.0377735,-0.056492605,1.00640491,0.0205,0.000205,0.122,0.00122,1,1,71,3
"72",72,"Conference House",14,"High","Low",2018,8,"Summer","0-10",45.071,4,9.686,0.063,2.002,1.625,0.188311688,10,0.351842999,700.5061933,21.91116289,30.55202519,1.194794787,31.74681998,32.92108508,0.127125845,0.181875626,615.386054,0.3355,0.003355,5.1305,0.051305,1,0,72,1
"73",73,"Conference House",14,"High","Low",2018,8,"Summer","10--30",134.406,8,16.008,0.007,2.066,1.785,0.136011617,20,0.62764046,296.5982114,4.766747171,8.132343548,0.176088016,8.308431564,18.79163571,0.189081145,0.117731351,19.17924865,0.102,0.00102,1.957,0.01957,1,0,73,2
"74",74,"Conference House",14,"High","Low",2018,8,"Summer","30-70",355.325,6,11.979,0,2.952,2.621,0.112127371,40,0.90743011,79.88947891,3.927825695,0.948990141,-0.00393175,0.945058391,1.158426024,-0.004845149,-0.023025405,1.670543624,0.022,0.00022,0.1585,0.001585,1,0,74,3
"75",75,"Conference House",14,"High","Low",2018,8,"Summer","0-10",36.389,1.6,2.195,0.126,1.835,1.473,0.197275204,10,0.326002734,1002.971975,14.07673065,-0.188817107,-0.102727757,-0.291544864,81.28918693,3.162035148,3.108796203,819.6942596,0.3115,0.003115,5.1445,0.051445,1,0,75,1
"76",76,"Conference House",14,"High","Low",2018,8,"Summer","10--30",112.308,5,8.455,0.145,2.021,1.755,0.131618011,20,0.542607287,314.1836103,5.675138802,6.161486149,NA,NA,17.97120097,NA,0.278178136,52.92522072,0.1355,0.001355,2.482,0.02482,1,0,76,2
"77",77,"Conference House",14,"High","Low",2018,8,"Summer","30-70",285.267,5,11.148,0.98,2.138,1.914,0.104770814,40,0.727861039,130.9701016,3.930191172,26.11024031,1.05895152,27.16919183,3.354428673,-2.543659932,-2.491313832,1.514172857,0.058,0.00058,1.369,0.01369,1,0,77,3
"78",78,"Conference House",14,"High","Low",2018,8,"Summer","70-90",154.197,8.5,14.647,0,1.9,1.68,0.115789474,20,0.759458981,94.29868403,3.501523359,7.216410109,0.136911631,7.35332174,1.693848955,-0.644396166,-0.700922488,0.538497464,0.0275,0.000275,0.3025,0.003025,1,0,78,3
"79",79,"Conference House",14,"High","Low",2018,8,"Summer","90-100",88.414,3,5.796,0,2.001,1.835,0.082958521,11,0.832251421,79.179214,2.832404013,2.404309459,1.365612162,3.769921621,1.174215865,-0.373003871,-0.242619881,1.196086339,0.0225,0.000225,0.128,0.00128,1,0,79,3
"80",80,"Clove Lakes 2",15,"High","Low",2018,8,"Summer","0-10",53.552,0.8,1.542,0.299,1.787,1.423,0.203693341,10,0.486238228,855.4904104,14.22036635,47.33376448,3.398192489,50.73195697,97.52761493,-0.262254714,-0.010107686,518.6414915,0.2215,0.002215,2.8695,0.028695,1,0,80,1
"81",81,"Clove Lakes 2",15,"High","Low",2018,8,"Summer","10--30",135.061,0.4,0.996,0.012,3.674,3.211,0.126020686,20,0.6868587,271.6017547,6.362384901,4.666516027,2.233469987,6.899986015,8.83750398,-0.033891053,0.168096807,385.0665178,0.0705,0.000705,0.884,0.00884,1,0,81,2
"82",82,"Clove Lakes 2",15,"High","Low",2018,8,"Summer","30-70",298.595,6,11.652,0.019,3.731,3.373,0.095952828,40,0.772126565,153.7012103,5.203623583,0.992802631,0.647524333,1.640326964,1.488110303,-0.017913949,-0.005444525,-1.058495104,0.023,0.00023,0.1545,0.001545,1,0,82,3
"83",83,"Clove Lakes 2",15,"High","Low",2018,8,"Summer","70-90",159.857,8,16.005,0,2.563,2.381,0.071010535,20,0.819994678,137.4553538,4.992615103,-0.154429606,0.612158357,0.45772875,11.97072895,-0.064162299,-0.008788432,-2.224714578,0.02,2e-04,0.094,0.00094,1,0,83,3
"84",84,"Clove Lakes 2",15,"High","Low",2018,8,"Summer","90-100",149.1,5.5,10.946,0,2.415,2.253,0.067080745,19.3,0.808122009,127.4893886,4.156656279,-0.284237884,0.597012299,0.312774415,0.193291171,-0.037739116,-0.000619542,-9.761152534,0.016,0.00016,0.0805,0.000805,1,0,84,3
"85",85,"Clove Lakes 2",15,"High","Low",2018,8,"Summer","0-10",55.11,3,4.841,0.269,2.605,2.301,0.116698656,10,0.535421762,684.2497509,11.20088003,25.81231291,0.614399093,26.42671201,22.05337783,-0.547385424,-0.497950599,515.0393282,0.143,0.00143,1.9815,0.019815,1,0,85,1
"86",86,"Clove Lakes 2",15,"High","Low",2018,8,"Summer","10--30",136.897,3.5,7.214,0,2.127,2.012,0.054066761,20,0.732484999,202.6986078,5.793802802,4.220635361,0.541674888,4.762310249,5.849047862,0.086163872,0.107639782,4.310496552,0.0875,0.000875,1.2365,0.012365,1,0,86,2
"87",87,"Clove Lakes 2",15,"High","Low",2018,8,"Summer","30-70",320.078,18,33.297,0.004,3.609,3.183,0.118038238,40,0.780767005,175.6611512,4.387208513,0.930809155,0.305116549,1.235925704,1.093359951,-0.015219088,0.005197456,-1.847805868,0.028,0.00028,0.198,0.00198,1,0,87,3
"88",88,"Clove Lakes 2",15,"High","Low",2018,8,"Summer","70-90",169.417,6,14.481,0,2.058,1.916,0.068999028,20,0.874358632,89.58559576,3.832234321,-0.278835958,2.655805562,2.376969603,0.482557061,-0.252679988,0.000598475,-2.508462924,0.0165,0.000165,0.0855,0.000855,1,0,88,3
